Age,Gender,Income,Household_Size,Overall_Satisfaction,Average_Spend,Education_Level,Employment_Status,Marital_Status,Location,Shopping_Frequency,Product_Preferences,Shopping_Time,Brand_Loyalty,Shopping_Channels,Payment_Methods,Product_Quality_Importance,Price_Sensitivity,Promotions_Discounts_Interest,Store_Experience,Customer_Service_Expectations,Delivery_Pickup_Preferences,Product_Satisfaction,Service_Satisfaction,Store_Layout_Satisfaction,Ease_of_Shopping,Communication_Preferences,Social_Media_Engagement,Membership_Program_Interest,Shopping_Triggers,Brand_Perception,Competitor_Awareness,Online_Shopping_Habits,App_Usage,Tech_Savviness,Estimated_Savings
32,Male,8109.01,4,5,759.16,High School,Full-time,Married,Rural,Rarely,Groceries,Weekends,High,Online,Cash,4,3,4,5,2,Home Delivery,4,3,2,1,Email,1,3,Necessity,Quality,5,1,2,3,
38,Female,1370.62,6,4,446.11,Postgraduate,Unemployed,Married,Suburban,Rarely,Clothing,Morning,Low,Both,Mobile Payment,1,1,4,3,4,Curbside Pickup,1,2,1,5,SMS,4,3,Necessity,Quality,1,4,4,5,
54,Female,8405.02,4,3,627.22,Undergraduate,Student,Widowed,Rural,Rarely,Clothing,Evening,Low,In-store,Credit Card,2,2,4,3,2,Curbside Pickup,2,3,4,5,Social Media,2,5,Word of Mouth,Value for Money,5,4,5,4,
25,Male,3130.12,4,3,275.74,Undergraduate,Retired,Divorced,Suburban,Rarely,Clothing,Evening,Moderate,Online,Credit Card,4,3,2,4,5,In-store Pickup,5,3,1,3,Social Media,5,1,Word of Mouth,Quality,5,4,4,5,
56,Female,"$5,502.61",5,2,$492.33,Undergraduate,Full-time,Single,Urban,Weekly,Clothing,Evening,Moderate,Online,Mobile Payment,2,2,2,4,3,Home Delivery,1,1,5,2,Social Media,3,3,Advertisements,Exclusivity,1,3,3,4,"$5,010.28"
27,Male,9659.45,4,2,616.26,High School,Student,Divorced,Urban,Rarely,Electronics,Afternoon,High,Online,Cash,2,2,1,5,4,Curbside Pickup,3,3,1,4,Email,1,5,Necessity,Value for Money,3,5,2,4,
67,Male,1273.93,1,2,242.73,High School,Student,Widowed,Suburban,Rarely,Home Goods,Afternoon,High,Both,Mobile Payment,3,2,1,3,3,Home Delivery,3,2,3,2,Email,3,2,Necessity,Value for Money,2,3,2,5,
59,Male,8616.47,3,2,597.97,Postgraduate,Student,Single,Rural,Monthly,Electronics,Weekends,Low,In-store,Mobile Payment,4,5,5,1,3,Home Delivery,5,4,1,1,Email,5,1,Necessity,Exclusivity,4,2,2,5,
56,Female,"$5,592.51",3,2,$508.16,Postgraduate,Full-time,Single,Suburban,Rarely,Electronics,Morning,High,In-store,Mobile Payment,2,1,3,4,1,In-store Pickup,2,5,5,3,Social Media,4,3,Necessity,Exclusivity,2,4,5,4,"$5,084.35"
51,Male,4159.15,4,3,458,Undergraduate,Self-employed,Widowed,Suburban,Daily,Clothing,Evening,Low,Both,Credit Card,3,5,3,1,5,Home Delivery,3,2,2,1,SMS,3,2,Word of Mouth,Exclusivity,1,2,3,3,
27,Male,3612.18,2,1,193.23,Postgraduate,Self-employed,Married,Urban,Daily,Clothing,Evening,High,In-store,Cash,4,1,1,1,5,Home Delivery,1,3,5,3,Email,5,2,Necessity,Value for Money,4,5,3,5,
39,Male,2446.92,6,1,317.09,Postgraduate,Student,Divorced,Urban,Daily,Home Goods,Evening,Low,Online,Credit Card,4,2,4,3,3,In-store Pickup,4,1,2,2,Social Media,1,5,Word of Mouth,Exclusivity,1,2,5,4,
46,Female,"$5,696.72",5,1,$338.84,High School,Full-time,Single,Rural,Monthly,Home Goods,Weekends,Moderate,Both,Credit Card,5,5,1,1,1,Home Delivery,4,1,2,3,Social Media,2,4,Word of Mouth,Quality,3,1,2,2,"$5,357.88"
37,Male,8936.52,4,1,576.86,High School,Self-employed,Single,Suburban,Daily,Groceries,Evening,Moderate,In-store,Mobile Payment,3,1,1,3,3,Home Delivery,3,3,3,5,Email,2,2,Necessity,Exclusivity,3,5,3,4,
63,Male,5532.28,1,3,441.53,High School,Self-employed,Married,Urban,Rarely,Clothing,Afternoon,Low,Both,Mobile Payment,5,1,3,4,4,Home Delivery,3,2,5,2,Social Media,3,2,Advertisements,Value for Money,1,4,5,4,
34,Female,6076.11,3,1,406.6,Postgraduate,Part-time,Widowed,Suburban,Daily,Electronics,Morning,Moderate,In-store,Credit Card,5,3,4,4,5,Home Delivery,4,2,5,1,Social Media,3,5,Word of Mouth,Value for Money,3,2,5,4,
63,Male,6824.48,1,2,444.66,High School,Student,Married,Suburban,Monthly,Groceries,Weekends,Low,In-store,Credit Card,2,4,2,4,1,Home Delivery,4,4,2,4,Email,3,4,Advertisements,Quality,3,1,3,4,
52,Male,5533.98,3,3,582.76,High School,Retired,Divorced,Rural,Monthly,Home Goods,Evening,High,Online,Mobile Payment,2,1,2,1,4,Curbside Pickup,5,2,5,1,Social Media,1,5,Word of Mouth,Value for Money,5,2,1,5,
57,Male,5343.51,3,4,602.67,Postgraduate,Student,Widowed,Suburban,Weekly,Electronics,Weekends,Low,Online,Cash,4,1,4,1,4,Curbside Pickup,2,3,4,5,SMS,2,2,Word of Mouth,Value for Money,4,1,3,2,
63,Female,653.52,2,4,228.21,Undergraduate,Part-time,Widowed,Suburban,Rarely,Electronics,Weekends,Low,Both,Credit Card,3,5,1,3,1,In-store Pickup,2,4,4,2,Social Media,4,1,Necessity,Value for Money,1,3,1,1,
68,Female,953.24,3,3,267.6,Undergraduate,Retired,Widowed,Suburban,Daily,Clothing,Morning,Moderate,Both,Credit Card,1,2,4,1,4,In-store Pickup,4,1,3,2,SMS,2,5,Necessity,Quality,2,3,1,2,
47,Male,9328.83,6,4,844.01,High School,Student,Married,Rural,Monthly,Electronics,Weekends,Low,Both,Credit Card,2,2,2,2,5,Home Delivery,5,1,5,1,SMS,1,4,Word of Mouth,Quality,2,5,3,1,
32,Male,7808.21,4,2,625.54,Undergraduate,Unemployed,Widowed,Suburban,Monthly,Home Goods,Evening,Low,Both,Cash,3,2,5,3,1,Home Delivery,4,5,1,4,Social Media,2,4,Advertisements,Quality,4,3,1,2,
41,Male,2410.27,2,3,265.74,Postgraduate,Student,Widowed,Suburban,Monthly,Electronics,Evening,High,Both,Credit Card,5,5,2,1,1,Home Delivery,1,4,3,3,Email,2,5,Necessity,Exclusivity,3,1,2,1,
66,Female,6677.48,1,4,624.36,High School,Full-time,Married,Urban,Rarely,Clothing,Morning,Low,Online,Cash,2,5,2,5,3,In-store Pickup,3,3,2,3,SMS,2,4,Word of Mouth,Exclusivity,4,1,3,2,
40,Male,6710.78,5,3,550.31,High School,Unemployed,Single,Suburban,Daily,Home Goods,Morning,High,In-store,Mobile Payment,1,4,5,3,2,In-store Pickup,2,2,4,4,SMS,4,1,Necessity,Exclusivity,4,2,5,4,
29,Female,"$5,909.14",1,1,$328.06,Postgraduate,Retired,Divorced,Rural,Weekly,Electronics,Morning,High,In-store,Cash,5,2,5,3,2,In-store Pickup,4,5,3,4,SMS,5,2,Necessity,Value for Money,2,1,4,3,"$5,581.08"
24,Male,8216.9,4,5,749.28,High School,Self-employed,Single,Rural,Rarely,Groceries,Morning,Moderate,Both,Mobile Payment,3,4,4,2,1,In-store Pickup,3,3,1,1,Email,3,1,Word of Mouth,Quality,3,1,2,2,
42,Female,"$6,046.79",4,3,$521.55,Postgraduate,Self-employed,Divorced,Urban,Weekly,Clothing,Evening,High,Both,Mobile Payment,4,1,5,1,5,In-store Pickup,1,4,1,5,SMS,4,2,Advertisements,Quality,1,4,5,5,"$5,525.24"
32,Male,8908.76,6,5,808.77,High School,Full-time,Single,Urban,Monthly,Electronics,Morning,Low,Online,Credit Card,2,1,3,1,2,Home Delivery,5,3,1,3,Social Media,1,4,Advertisements,Quality,1,1,3,2,
40,Male,5756.48,5,4,482.8,Undergraduate,Self-employed,Widowed,Rural,Daily,Groceries,Evening,High,Online,Mobile Payment,2,1,3,2,1,Curbside Pickup,1,4,2,5,Social Media,4,3,Necessity,Value for Money,4,1,1,5,
43,Male,9107.46,6,5,727.06,Undergraduate,Student,Single,Rural,Monthly,Electronics,Weekends,High,Online,Mobile Payment,4,3,2,3,2,In-store Pickup,2,3,3,5,SMS,1,2,Advertisements,Exclusivity,5,5,2,1,
20,Female,"$6,047.42",1,5,$548.27,Postgraduate,Unemployed,Single,Urban,Monthly,Clothing,Evening,Low,In-store,Mobile Payment,3,5,3,3,2,Home Delivery,2,5,2,2,SMS,4,2,Necessity,Value for Money,1,5,1,3,"$5,499.15"
32,Female,"$6,056.90",2,2,$384.73,Postgraduate,Full-time,Single,Suburban,Daily,Groceries,Evening,High,Online,Mobile Payment,4,4,2,3,3,Curbside Pickup,1,1,5,2,Email,5,4,Advertisements,Value for Money,3,5,5,2,"$5,672.17"
49,Male,9521.06,1,1,594.77,Undergraduate,Unemployed,Divorced,Suburban,Daily,Electronics,Afternoon,High,Both,Credit Card,5,2,1,3,2,In-store Pickup,5,5,5,2,SMS,5,2,Word of Mouth,Value for Money,1,1,1,1,
24,Male,7235.86,1,2,500.77,Undergraduate,Full-time,Single,Rural,Rarely,Home Goods,Morning,Low,Both,Mobile Payment,3,4,4,3,2,In-store Pickup,4,3,3,2,Email,3,1,Necessity,Quality,3,5,1,2,
55,Female,"$6,080.88",4,1,$450.07,Undergraduate,Student,Divorced,Rural,Monthly,Electronics,Afternoon,Low,Online,Cash,5,3,3,4,5,In-store Pickup,5,5,4,4,Social Media,5,1,Word of Mouth,Exclusivity,5,5,4,3,"$5,630.81"
59,Male,674.46,6,4,313.69,High School,Full-time,Single,Rural,Daily,Groceries,Morning,Moderate,Both,Cash,4,2,3,1,4,Curbside Pickup,1,4,2,2,SMS,1,4,Advertisements,Exclusivity,1,3,3,1,
22,Male,5883.97,3,1,444.43,Undergraduate,Full-time,Divorced,Suburban,Rarely,Groceries,Weekends,Moderate,In-store,Mobile Payment,1,5,2,1,5,Home Delivery,4,4,1,5,Email,2,5,Advertisements,Exclusivity,1,5,2,5,
23,Female,5155.6,5,2,530.33,Postgraduate,Student,Married,Urban,Weekly,Electronics,Morning,Low,In-store,Credit Card,1,2,4,5,5,Home Delivery,4,4,4,4,Email,5,2,Necessity,Exclusivity,4,4,1,5,
33,Male,8847.4,2,1,572.31,High School,Retired,Single,Rural,Daily,Groceries,Weekends,Moderate,Both,Cash,2,3,4,4,3,In-store Pickup,1,1,3,3,Email,1,4,Necessity,Exclusivity,1,5,1,4,
59,Female,"$6,320.38",4,2,$520.47,Postgraduate,Student,Single,Rural,Rarely,Clothing,Evening,High,Online,Credit Card,4,3,4,1,1,Home Delivery,5,5,1,2,SMS,5,1,Advertisements,Value for Money,1,4,2,5,"$5,799.91"
28,Female,"$6,482.58",1,5,$606.01,Postgraduate,Full-time,Single,Rural,Rarely,Home Goods,Evening,High,Both,Credit Card,5,2,1,2,2,Home Delivery,4,3,5,3,Email,5,4,Necessity,Exclusivity,1,3,4,1,"$5,876.57"
46,Female,"$6,896.66",3,5,$709.09,Undergraduate,Self-employed,Divorced,Rural,Weekly,Electronics,Afternoon,Low,Online,Credit Card,2,1,2,4,5,In-store Pickup,4,3,1,1,Email,2,4,Necessity,Quality,1,5,1,3,"$6,187.57"
30,Female,"$7,491.04",4,4,$637.48,Undergraduate,Unemployed,Single,Suburban,Rarely,Home Goods,Morning,High,Both,Credit Card,4,2,2,2,3,In-store Pickup,5,2,3,4,Social Media,1,3,Word of Mouth,Quality,2,5,3,5,"$6,853.56"
68,Female,"$7,654.55",5,2,$540.45,Postgraduate,Self-employed,Single,Urban,Rarely,Groceries,Afternoon,High,Online,Cash,4,3,2,1,5,In-store Pickup,5,1,1,1,Email,3,5,Advertisements,Quality,5,4,3,3,"$7,114.10"
61,Female,"$8,121.26",5,2,$684.30,Postgraduate,Self-employed,Single,Rural,Weekly,Clothing,Weekends,Moderate,In-store,Cash,5,3,4,3,3,Curbside Pickup,1,1,1,1,Email,3,4,Word of Mouth,Exclusivity,5,5,2,3,"$7,436.96"
63,Female,6833.7,2,2,425.33,High School,Self-employed,Married,Rural,Rarely,Home Goods,Evening,Low,Online,Mobile Payment,3,5,3,2,3,In-store Pickup,5,1,5,4,Email,5,4,Word of Mouth,Exclusivity,1,4,5,4,
36,Female,9785.14,2,4,771.09,Postgraduate,Self-employed,Married,Suburban,Monthly,Clothing,Weekends,Low,Online,Cash,5,4,5,5,1,Home Delivery,3,3,4,4,SMS,4,1,Necessity,Exclusivity,4,3,5,2,
42,Male,6036.03,3,2,412.79,Undergraduate,Retired,Single,Suburban,Daily,Clothing,Evening,Low,Both,Credit Card,3,2,3,3,1,Home Delivery,2,4,5,1,Email,3,5,Advertisements,Exclusivity,4,4,5,1,
41,Female,"$8,222.10",1,3,$591.95,Postgraduate,Self-employed,Divorced,Urban,Monthly,Clothing,Afternoon,Low,Online,Cash,3,1,1,2,5,Curbside Pickup,1,2,2,5,Email,3,5,Word of Mouth,Quality,1,2,2,4,"$7,630.15"
43,Male,1077.43,6,1,233.15,Postgraduate,Full-time,Widowed,Rural,Daily,Home Goods,Morning,Moderate,Both,Credit Card,2,1,5,2,4,Home Delivery,3,4,2,5,Social Media,2,1,Necessity,Quality,1,4,4,4,
26,Male,9705.87,4,1,622.35,Postgraduate,Full-time,Divorced,Suburban,Rarely,Electronics,Evening,High,Both,Mobile Payment,2,4,5,5,5,Home Delivery,2,1,2,3,SMS,4,5,Word of Mouth,Quality,5,4,1,2,
24,Male,1642.25,3,3,199.51,Postgraduate,Full-time,Single,Rural,Daily,Electronics,Weekends,Moderate,Both,Cash,5,1,2,4,5,Curbside Pickup,4,1,2,3,Email,4,3,Advertisements,Quality,5,3,5,4,
51,Male,1339.45,3,5,385.09,High School,Part-time,Married,Rural,Rarely,Clothing,Morning,Low,Online,Credit Card,5,2,4,2,5,Curbside Pickup,5,2,2,4,SMS,4,2,Word of Mouth,Value for Money,5,1,4,3,
65,Male,8867.26,1,5,688.7,High School,Part-time,Single,Urban,Weekly,Home Goods,Afternoon,High,Both,Mobile Payment,1,2,4,2,4,In-store Pickup,2,1,2,5,Social Media,4,1,Necessity,Quality,5,3,2,2,
30,Male,5329.52,5,1,381.29,Postgraduate,Retired,Widowed,Rural,Weekly,Clothing,Morning,Moderate,Online,Mobile Payment,3,2,1,4,5,Curbside Pickup,2,1,4,3,Social Media,4,4,Word of Mouth,Value for Money,2,3,3,4,
36,Male,3706.2,5,4,426.13,Postgraduate,Full-time,Single,Rural,Monthly,Clothing,Afternoon,Low,Both,Credit Card,5,2,2,1,4,Curbside Pickup,4,3,4,1,SMS,2,2,Necessity,Exclusivity,1,1,2,2,
69,Female,8996.18,1,2,512.87,High School,Part-time,Married,Suburban,Rarely,Home Goods,Morning,High,Both,Mobile Payment,2,1,1,2,3,Curbside Pickup,5,3,2,1,Email,2,3,Necessity,Exclusivity,3,3,4,5,
49,Female,"$8,613.95",4,3,$657.25,Postgraduate,Student,Divorced,Rural,Rarely,Groceries,Weekends,Moderate,In-store,Credit Card,3,5,2,5,1,Curbside Pickup,4,2,5,5,SMS,2,1,Necessity,Value for Money,5,5,5,3,"$7,956.70"
56,Male,2753.68,1,3,370.03,Undergraduate,Full-time,Divorced,Rural,Weekly,Groceries,Evening,Low,In-store,Mobile Payment,1,2,3,4,2,Curbside Pickup,3,4,5,3,Email,3,4,Word of Mouth,Quality,2,1,1,4,
21,Male,7021.66,5,2,585.84,Postgraduate,Self-employed,Married,Rural,Monthly,Electronics,Afternoon,Low,Online,Credit Card,4,5,1,5,2,Home Delivery,3,4,2,1,Social Media,2,5,Word of Mouth,Quality,3,2,4,3,
18,Male,2645.28,5,5,496.01,Postgraduate,Self-employed,Widowed,Rural,Weekly,Home Goods,Afternoon,High,Online,Cash,5,2,5,2,4,Home Delivery,4,2,5,1,Social Media,4,3,Advertisements,Exclusivity,5,2,2,4,
57,Male,3525.7,4,4,542.11,High School,Unemployed,Single,Urban,Daily,Groceries,Weekends,High,Both,Cash,4,3,1,3,2,In-store Pickup,5,5,4,2,Email,3,2,Necessity,Exclusivity,1,4,3,2,
47,Male,2152.85,2,1,278.25,High School,Retired,Married,Urban,Rarely,Clothing,Afternoon,Low,Online,Mobile Payment,1,5,3,2,2,Curbside Pickup,5,1,5,1,SMS,1,3,Word of Mouth,Exclusivity,4,1,4,1,
47,Male,8113.58,6,4,770.83,High School,Retired,Single,Suburban,Daily,Electronics,Evening,Moderate,Online,Mobile Payment,1,2,1,3,1,Home Delivery,1,5,1,5,Social Media,5,5,Word of Mouth,Exclusivity,3,4,1,3,
69,Female,1889.68,2,3,225.31,High School,Part-time,Married,Urban,Daily,Clothing,Evening,Low,Online,Credit Card,2,4,2,4,5,Curbside Pickup,1,3,2,1,Email,1,5,Word of Mouth,Quality,2,3,2,2,
42,Male,8315.82,4,5,817.45,Undergraduate,Student,Married,Rural,Monthly,Clothing,Weekends,High,Online,Credit Card,2,5,2,2,4,Home Delivery,4,3,4,1,Social Media,5,2,Word of Mouth,Exclusivity,2,5,4,5,
51,Female,"$8,671.02",5,4,$766.09,High School,Student,Single,Suburban,Monthly,Home Goods,Morning,Moderate,Both,Mobile Payment,2,2,3,1,2,In-store Pickup,2,2,3,3,Email,5,2,Word of Mouth,Exclusivity,2,4,5,5,"$7,904.93"
41,Male,4054.61,6,4,510.6,Postgraduate,Part-time,Married,Rural,Weekly,Clothing,Afternoon,High,Online,Credit Card,3,1,4,2,5,Curbside Pickup,2,5,2,1,Email,3,1,Advertisements,Quality,2,3,5,5,
28,Female,"$8,802.52",6,4,$635.54,High School,Full-time,Single,Urban,Rarely,Home Goods,Afternoon,High,Online,Cash,3,1,1,5,3,Home Delivery,3,5,4,2,SMS,5,3,Advertisements,Exclusivity,5,2,4,1,"$8,166.98"
53,Female,"$8,973.01",4,5,$765.94,High School,Full-time,Single,Urban,Weekly,Electronics,Morning,Moderate,In-store,Credit Card,4,2,3,2,2,Home Delivery,2,3,2,4,SMS,3,3,Advertisements,Exclusivity,5,1,5,5,"$8,207.07"
37,Female,708.94,5,5,360.75,High School,Unemployed,Married,Suburban,Rarely,Electronics,Evening,Low,In-store,Cash,4,4,1,2,3,Home Delivery,4,5,1,2,Email,4,5,Necessity,Quality,3,5,3,5,
48,Female,"$9,421.81",1,3,$612.76,Undergraduate,Full-time,Single,Urban,Rarely,Electronics,Morning,High,Both,Credit Card,3,5,4,1,2,Curbside Pickup,5,5,5,2,SMS,5,5,Advertisements,Value for Money,2,4,1,3,"$8,809.05"
60,Female,"$9,759.90",2,5,$851.62,Postgraduate,Unemployed,Single,Suburban,Monthly,Groceries,Afternoon,Moderate,Both,Credit Card,4,4,5,1,2,Curbside Pickup,3,2,4,5,Email,4,4,Necessity,Value for Money,5,4,5,1,"$8,908.28"
46,Male,7927.32,2,5,658.13,Undergraduate,Retired,Widowed,Rural,Weekly,Electronics,Morning,Low,Both,Credit Card,2,1,4,2,4,Curbside Pickup,4,3,3,1,Social Media,5,1,Advertisements,Value for Money,5,5,4,5,
64,Female,"$9,932.97",6,3,$824.99,Undergraduate,Self-employed,Divorced,Rural,Rarely,Groceries,Morning,Moderate,Both,Cash,5,4,1,2,4,Curbside Pickup,2,3,5,3,Email,5,1,Necessity,Value for Money,3,4,1,1,"$9,107.98"
69,Male,7671.22,4,3,575.58,High School,Self-employed,Divorced,Suburban,Weekly,Home Goods,Afternoon,Low,Both,Mobile Payment,3,3,3,3,5,Curbside Pickup,3,4,2,3,Social Media,4,4,Word of Mouth,Value for Money,5,2,1,4,
61,Male,9802.44,1,4,717.81,Undergraduate,Retired,Married,Rural,Rarely,Clothing,Morning,Low,In-store,Cash,5,2,4,3,2,In-store Pickup,5,3,2,1,SMS,1,4,Word of Mouth,Quality,2,3,4,5,
39,Male,919.4,5,5,391.11,Postgraduate,Student,Married,Suburban,Rarely,Groceries,Morning,High,In-store,Mobile Payment,3,5,1,2,2,Curbside Pickup,4,1,1,2,Email,5,2,Advertisements,Quality,2,2,5,3,
66,Male,9082.31,1,5,709.32,High School,Full-time,Married,Urban,Daily,Groceries,Afternoon,High,In-store,Credit Card,5,2,2,2,4,Home Delivery,3,4,3,2,Email,1,1,Word of Mouth,Value for Money,2,3,3,4,
59,Male,8722.26,4,4,739.3,Undergraduate,Full-time,Divorced,Rural,Monthly,Clothing,Weekends,Moderate,In-store,Cash,4,1,1,1,1,Home Delivery,2,3,1,3,Email,1,1,Word of Mouth,Exclusivity,5,3,4,3,
37,Male,7866.37,3,4,562.08,High School,Student,Single,Suburban,Monthly,Electronics,Morning,High,Online,Mobile Payment,2,5,4,4,2,Curbside Pickup,1,5,4,1,Social Media,2,1,Necessity,Exclusivity,5,5,2,4,
28,Male,4079.76,4,3,446.61,Undergraduate,Unemployed,Divorced,Suburban,Rarely,Clothing,Evening,Low,Online,Credit Card,5,5,1,5,5,Home Delivery,1,2,5,5,Social Media,1,5,Advertisements,Exclusivity,1,3,2,1,
25,Male,900.03,5,3,340.06,Postgraduate,Part-time,Single,Urban,Monthly,Groceries,Weekends,Moderate,Online,Credit Card,3,4,4,1,2,Home Delivery,5,2,1,2,Social Media,2,4,Word of Mouth,Exclusivity,3,4,3,2,
63,Male,3961.91,5,4,542.12,Undergraduate,Full-time,Married,Urban,Monthly,Electronics,Afternoon,High,Online,Mobile Payment,3,4,4,1,2,Curbside Pickup,1,5,4,5,SMS,4,2,Word of Mouth,Exclusivity,4,1,2,1,
38,Female,3100.64,6,1,436.62,High School,Full-time,Married,Rural,Rarely,Groceries,Afternoon,Low,In-store,Cash,1,4,4,1,3,Home Delivery,2,2,1,5,Email,2,1,Necessity,Quality,3,3,3,3,
62,Female,8579.44,4,4,676.98,Postgraduate,Part-time,Married,Suburban,Weekly,Groceries,Evening,High,Both,Mobile Payment,3,4,5,4,2,Home Delivery,1,1,4,1,Social Media,1,2,Advertisements,Value for Money,3,4,3,2,
19,Male,3942.82,3,2,308.14,Postgraduate,Student,Widowed,Urban,Weekly,Electronics,Afternoon,High,Both,Cash,3,1,3,2,2,Curbside Pickup,3,2,3,5,Social Media,3,1,Word of Mouth,Value for Money,5,4,4,2,
60,Male,3392.54,3,2,345.93,High School,Self-employed,Widowed,Urban,Daily,Groceries,Morning,Low,Both,Credit Card,5,4,3,2,2,In-store Pickup,4,5,3,2,SMS,2,5,Word of Mouth,Quality,4,4,3,4,
57,Female,"$9,933.93",3,4,$790.94,High School,Part-time,Divorced,Urban,Rarely,Home Goods,Morning,Low,In-store,Mobile Payment,4,4,1,1,2,In-store Pickup,1,3,4,2,Email,5,4,Word of Mouth,Quality,3,1,4,4,"$9,142.99"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,241.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$474.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
